Venue,"Match Date","Team 1","Team 2","Group Name"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-09 07:00 AM","Super Strikers",VAF,"GROUP M"
"Emerald Cricket Ground","2025-02-09 07:00 AM",V11z,Mazenet,"GROUP X"
"TRA HIGH SCHOOL","2025-02-09 08:30 AM","Petro Sky CC","Elite elevens","GROUP P"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-09 08:30 AM","Gtn engineering",Kirtilals,"GROUP M"
"Emerald Cricket Ground","2025-02-09 08:30 AM","Aegiiz Technologies","GVR CHAMPS","GROUP B"
"TRA HIGH SCHOOL","2025-02-09 10:00 AM",Pro-11,SGS&co,"GROUP Q"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-09 10:00 AM",SME,"SLB, Cameron","GROUP F"
"Emerald Cricket Ground","2025-02-09 10:00 AM",V11z,"Black pearls","GROUP X"
"TRA HIGH SCHOOL","2025-02-09 11:30 AM","Petrus United CC","Elite elevens","GROUP P"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-09 11:30 AM","Gtn engineering",VAF,"GROUP M"
"Emerald Cricket Ground","2025-02-09 11:30 AM","Indus Novateur","GVR CHAMPS","GROUP B"
"TRA HIGH SCHOOL","2025-02-09 01:00 PM","Petro Sky CC",ACIDUS,"GROUP P"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-09 01:00 PM","Super Strikers",Kirtilals,"GROUP M"
"Emerald Cricket Ground","2025-02-09 01:00 PM",Mazenet,SANDFITS,"GROUP X"
"TRA HIGH SCHOOL","2025-02-09 02:30 PM",Pro-11,NobleServe,"GROUP Q"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-09 02:30 PM","RPM GBCC","TDT Raptors","GROUP F"
"Emerald Cricket Ground","2025-02-09 02:30 PM","Imerit Tech","GVR CHAMPS","GROUP B"
"TRA HIGH SCHOOL","2025-02-15 07:00 AM","Propel Spartans","KOVAI SUPER KINGS JIO","GROUP T"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-15 07:00 AM","Stump Stunners","Exterro Cricket County","GROUP C"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-15 07:00 AM",Timbertruss,"Envision Thriller Guys","GROUP J"
"Emerald Cricket Ground","2025-02-15 07:00 AM","Kavin Engineering","Infognana Solutions","GROUP L"
"TRA HIGH SCHOOL","2025-02-15 08:30 AM",Taigha,Avantor,"GROUP E"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-15 08:30 AM",Texila,"Titans Cricket club","GROUP U"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-15 08:30 AM","Petro Sky CC","Petrus United CC","GROUP P"
"Emerald Cricket Ground","2025-02-15 08:30 AM","Defenders Cricket Club","Atmecs cricket club","GROUP L"
"TRA HIGH SCHOOL","2025-02-15 10:00 AM","Logic Valley Technologies","KOVAI SUPER KINGS JIO","GROUP T"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-15 10:00 AM","Stump Stunners","Wizards of Whizlabs","GROUP C"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-15 10:00 AM","Envision Thriller Guys","SPARTANS 2.0","GROUP J"
"Emerald Cricket Ground","2025-02-15 10:00 AM",CGCC,"PRICOL CHAMPS","GROUP V"
"TRA HIGH SCHOOL","2025-02-15 11:30 AM",Taigha,Apexon,"GROUP E"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-15 11:30 AM","Super Strikers Cricket(SSC)","Titans Cricket club","GROUP U"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-15 11:30 AM",Aximsoft,"Quinbay Mavericks","GROUP I"
"Emerald Cricket Ground","2025-02-15 11:30 AM","Rockerz Calpion  ","Yosi Super Kings","GROUP W"
"TRA HIGH SCHOOL","2025-02-15 01:00 PM","Power Pacers","KOVAI SUPER KINGS JIO","GROUP T"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-15 01:00 PM","Stump Stunners","Enthutech CC","GROUP C"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-15 01:00 PM","Envision Thriller Guys","Caliber CC","GROUP J"
"Emerald Cricket Ground","2025-02-15 01:00 PM","Atmecs cricket club","Infognana Solutions","GROUP L"
"TRA HIGH SCHOOL","2025-02-15 02:30 PM",Apexon,Avantor,"GROUP E"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-15 02:30 PM","Titans Cricket club",SPANians,"GROUP U"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-15 02:30 PM",Timbertruss,"SPARTANS 2.0","GROUP J"
"Emerald Cricket Ground","2025-02-15 02:30 PM","Rockerz Calpion  ","Ventra Velocity Vipers","GROUP W"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-16 07:00 AM",NobleServe,"Vserve Cricket Club","GROUP Q"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-16 07:00 AM",Timbertruss,"Caliber CC","GROUP J"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-16 08:30 AM","SAKTHI STRAIKERS",IamNeo,"GROUP S"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-16 08:30 AM","Defenders Cricket Club","Infognana Solutions","GROUP L"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-16 10:00 AM",NobleServe,SGS&co,"GROUP Q"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-16 10:00 AM","Caliber CC","SPARTANS 2.0","GROUP J"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-16 11:30 AM","Calpion software Technologies","adamsbridge Cricket Club","GROUP O"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-16 11:30 AM","Kavin Engineering","Atmecs cricket club","GROUP L"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-16 01:00 PM",SGS&co,"Vserve Cricket Club","GROUP Q"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-16 01:00 PM","Gtn engineering","Super Strikers","GROUP M"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-16 02:30 PM","Calpion software Technologies","Texcoms XI","GROUP O"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-16 02:30 PM","Kavin Engineering","Defenders Cricket Club","GROUP L"
"TRA HIGH SCHOOL","2025-02-22 07:00 AM",FORVIA,AppViewX,"GROUP D"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-22 07:00 AM",ZPCC,Qbss,"GROUP A"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-22 07:00 AM","Infosys corporate cricket club","Ventra Health","GROUP R"
"Emerald Cricket Ground","2025-02-22 07:00 AM","Emergere CC",Hunters,"GROUP G"
"TRA HIGH SCHOOL","2025-02-22 08:30 AM","Propel Spartans","Power Pacers","GROUP T"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-22 08:30 AM",Meltwater,"Visteon Smashers","GROUP A"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-22 08:30 AM","Craft Interactive Technologies Pvt Ltd","Maxval CC","GROUP N"
"Emerald Cricket Ground","2025-02-22 08:30 AM",CGCC,"Colruyt Super Kings","GROUP V"
"TRA HIGH SCHOOL","2025-02-22 10:00 AM","Jolly Cricketers Cricket Club","Ace Panthers","GROUP K"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-22 10:00 AM",Accenture,"Infosys corporate cricket club","GROUP R"
"Emerald Cricket Ground","2025-02-22 10:00 AM","Dsignz Media","Emergere CC","GROUP G"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-22 10:00 AM",Apexon,"MKS Warriors","GROUP E"
"TRA HIGH SCHOOL","2025-02-22 11:30 AM","Propel Spartans","Logic Valley Technologies","GROUP T"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-22 11:30 AM","Rockerz Calpion  ","Sri Ramakrishna Engineering College","GROUP W"
"Emerald Cricket Ground","2025-02-22 11:30 AM",CGCC,"Shrewd Warriors","GROUP V"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-22 11:30 AM","Mettler Super Kings","Maxval CC","GROUP N"
"TRA HIGH SCHOOL","2025-02-22 01:00 PM","Information Evolution CBE","Hawkeye Digitech","GROUP I"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-22 01:00 PM",Meltwater,Qbss,"GROUP A"
"Emerald Cricket Ground","2025-02-22 01:00 PM","Dsignz Media","Cloud Destinations","GROUP G"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-22 01:00 PM",Accenture,Blueocean,"GROUP R"
"TRA HIGH SCHOOL","2025-02-22 02:30 PM","Logic Valley Technologies","Power Pacers","GROUP T"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-22 02:30 PM","MKS Warriors",Avantor,"GROUP E"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-22 02:30 PM","Mettler Super Kings","Statestreet Thunders","GROUP N"
"Emerald Cricket Ground","2025-02-22 02:30 PM","Colruyt Super Kings","Shrewd Warriors","GROUP V"
"TRA HIGH SCHOOL","2025-02-23 07:00 AM",Accenture,"Ventra Health","GROUP R"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-23 07:00 AM","Statestreet Thunders","Maxval CC","GROUP N"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-23 07:00 AM","Indus Novateur","Aegiiz Technologies","GROUP B"
"TRA HIGH SCHOOL","2025-02-23 08:30 AM","Sreeram Cricket Club","Texcoms XI","GROUP O"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-23 08:30 AM","Cloud Destinations","Emergere CC","GROUP G"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-23 08:30 AM",Kirtilals,VAF,"GROUP M"
"TRA HIGH SCHOOL","2025-02-23 10:00 AM",Blueocean,"Ventra Health","GROUP R"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-23 10:00 AM","Statestreet Thunders","Craft Interactive Technologies Pvt Ltd","GROUP N"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-23 10:00 AM","Indus Novateur","Imerit Tech","GROUP B"
"TRA HIGH SCHOOL","2025-02-23 11:30 AM","Sreeram Cricket Club","adamsbridge Cricket Club","GROUP O"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-23 11:30 AM","Dsignz Media",Hunters,"GROUP G"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-23 11:30 AM",Pro-11,"Vserve Cricket Club","GROUP Q"
"TRA HIGH SCHOOL","2025-02-23 01:00 PM","Infosys corporate cricket club",Blueocean,"GROUP R"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-23 01:00 PM","Mettler Super Kings","Craft Interactive Technologies Pvt Ltd","GROUP N"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-23 01:00 PM","Aegiiz Technologies","Imerit Tech","GROUP B"
"TRA HIGH SCHOOL","2025-02-23 02:30 PM","adamsbridge Cricket Club","Texcoms XI","GROUP O"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-02-23 02:30 PM","Cloud Destinations",Hunters,"GROUP G"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-02-23 02:30 PM","Sascom engineering","PRICOL TITANS","GROUP S"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-03-01 07:00 AM",ZPCC,Meltwater,"GROUP A"
"TRA HIGH SCHOOL","2025-03-01 07:00 AM","Ace Panthers","Verticurl CC","GROUP K"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-03-01 07:00 AM","Exterro Cricket County","Enthutech CC","GROUP C"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-03-01 08:30 AM","Ventra Velocity Vipers","Sri Ramakrishna Engineering College","GROUP W"
"TRA HIGH SCHOOL","2025-03-01 08:30 AM","Colruyt Super Kings","PRICOL CHAMPS","GROUP V"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-03-01 08:30 AM","CAX Strikers","Nurtur Knights","GROUP D"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-03-01 10:00 AM",ZPCC,"Visteon Smashers","GROUP A"
"TRA HIGH SCHOOL","2025-03-01 10:00 AM",IGNITERS,"Bosch Corporate","GROUP H"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-03-01 10:00 AM","Exterro Cricket County","Wizards of Whizlabs","GROUP C"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-03-01 11:30 AM","Yosi Super Kings","Sri Ramakrishna Engineering College","GROUP W"
"TRA HIGH SCHOOL","2025-03-01 11:30 AM","Ace Panthers",Hoffensoft,"GROUP K"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-03-01 11:30 AM","Nurtur Knights",AppViewX,"GROUP D"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-03-01 01:00 PM","Visteon Smashers",Qbss,"GROUP A"
"TRA HIGH SCHOOL","2025-03-01 01:00 PM","PRICOL CHAMPS","Shrewd Warriors","GROUP V"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-03-01 01:00 PM","Enthutech CC","Wizards of Whizlabs","GROUP C"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-03-01 02:30 PM","Ventra Velocity Vipers","Yosi Super Kings","GROUP W"
"TRA HIGH SCHOOL","2025-03-01 02:30 PM","Cotiviti Cricket Club","COREFORCE STRIKERS","GROUP H"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-03-01 02:30 PM","CAX Strikers",AppViewX,"GROUP D"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-03-01 04:00 PM","Jolly Cricketers Cricket Club",Hoffensoft,"GROUP K"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-03-02 07:00 AM",V11z,SANDFITS,"GROUP X"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-03-02 07:00 AM","SAKTHI STRAIKERS","PRICOL TITANS","GROUP S"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-03-02 08:30 AM",IGNITERS,"Cotiviti Cricket Club","GROUP H"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-03-02 08:30 AM","Sascom engineering",IamNeo,"GROUP S"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-03-02 10:00 AM","Bosch Corporate","COREFORCE STRIKERS","GROUP H"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-03-02 10:00 AM",SANDFITS,"Black pearls","GROUP X"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-03-02 11:30 AM","Sreeram Cricket Club","Calpion software Technologies","GROUP O"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-03-02 11:30 AM",IamNeo,"PRICOL TITANS","GROUP S"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-03-02 01:00 PM",IGNITERS,"COREFORCE STRIKERS","GROUP H"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-03-02 01:00 PM","Sascom engineering","SAKTHI STRAIKERS","GROUP S"
"SRI RAMAKRISHNA ENGINEERING COLLEGE","2025-03-02 02:30 PM","Bosch Corporate","Cotiviti Cricket Club","GROUP H"
"DON BOSCO SCHOOL OF EXCELLENCE","2025-03-02 02:30 PM",Mazenet,"Black pearls","GROUP X"
